"","state","suicideRate","nrc.anger.x","nrc.anticipation.x","nrc.disgust.x","nrc.fear.x","nrc.joy.x","nrc.sadness.x","nrc.surprise.x","nrc.trust.x","nrc.negative.x","nrc.positive.x","sentiment_neg.x","sentiment_pos.x","nrc.anger.y","nrc.anticipation.y","nrc.disgust.y","nrc.fear.y","nrc.joy.y","nrc.sadness.y","nrc.surprise.y","nrc.trust.y","nrc.negative.y","nrc.positive.y","withdrawal","nausea","episodes","attacks","irritability","headache","imbalance","drowsy","fun","play","helped","god","answer","wants","leave","beautiful","suffer","tolerance","agree","hate","helpful","haha","enjoy","social","talk","save","win","care","love","like","hold","cope","amazing","side...effects","doctor","doses","effective","prescribed","stimulant","psychotherapy","diagnosis","pills","toxicity","X40mg","drugs","life","home","woman","she","him","girl","game","men","friends","sexual","boy","someone","movie","jesus","house","music","religion","her","songs","bible","relationship","hell","young","style","church","lord","father","heaven","dating","depress","stress","alcohol","fuck","shit","lone","support","fake","suicide","hope","sentiment_neg.y","sentiment_pos.y","retail_recreation","grocery_pharmacy","parks","transit_stations","workplaces","residential","antidep","psych","psych.hos","drg","suic","phrase1","phrase2","phrase3"
"1","Alabama",16.6,0.444196428571428,0.803571428571428,0.167410714285714,0.491815476190476,0.290178571428572,0.523809523809524,0.0982142857142858,0.863839285714286,1.02232142857143,1.35863095238095,0.146270710342262,0.101659656473214,27,25,10,26,12,24,6,29,50,45,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8325463,3.48568995,-41,-13,19,-30,-32,9,0.01,0.09,0.02,0.51,0.37,0,0,1
"2","Alaska",27,0.513333333333334,0.493333333333334,0.286666666666667,0.36,0.246666666666667,0.48,0.593333333333333,0.806666666666666,1.18,0.833333333333334,0.0736572333333334,0.058425016,8,9,5,7,4,7,9,13,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.6306123,1.0597336,-48,-27,18,-55,-33,10,0,0.09,0,0.29,0.62,0,0,0
"3","Arizona",18.2,0.86010989010989,0.594346764346764,0.492600732600733,0.946019536019537,0.248827838827839,0.891501831501831,0.47953601953602,1.00330891330891,1.23643467643467,1.31288156288156,0.11333768284127,0.106620941582417,78,71,37,80,32,71,36,93,125,138,0,0,0,0,0,0,0,0,1,6,0,0,1,0,0,0,0,0,0,1,0,0,0,4,2,0,2,6,0,8,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,7,2,0,1,13,1,0,0,0,0,0,0,0,0,19,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,12.6952421,11.7471408,-40,-17,-7,-41,-33,10,0.03,0.07,0.01,0.36,0.53,0.39,0.26,0.35
"4","Arkansas",20.8,0.437878787878787,0.562121212121211,0.162121212121212,0.753030303030303,0.225757575757576,0.537878787878787,0.462121212121212,0.928787878787879,1.16969696969697,0.951515151515152,0.12397585469697,0.186846857272727,22,24,9,24,10,19,13,24,39,36,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5,2,0,0,0,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.237837,2.9215522,-29,-7,81,-22,-27,7,0.04,0.1,0.03,0.36,0.47,0.5,0,0.5
"5","California",10.5,0.515207976776977,0.559873095722376,0.367671893065926,0.752308869861467,0.220421267784872,0.583012811507997,0.520319410768716,0.658453722275188,1.11611697071105,1.05342877060338,0.151874160391246,0.0850334533638605,350,436,224,549,192,407,287,570,835,798,0,0,0,1,0,0,0,0,3,32,2,1,7,2,3,0,4,0,4,6,0,0,0,29,10,5,27,61,5,23,6,6,1,0,8,0,2,1,0,0,0,0,0,0,1,22,14,0,44,9,2,1,147,4,0,0,2,0,0,2,1,0,165,0,0,1,2,3,0,1,0,0,0,1,0,6,1,3,2,0,8,4,0,4,110.152510395,63.567230986,-50,-24,-38,-54,-39,15,0.01,0.08,0.01,0.37,0.54,0.35,0.19,0.46
"6","Colorado",20.3,0.657241606319947,0.563931114967982,0.576445328864684,0.782078520557783,0.20550900712191,0.750941109581663,0.540572445987193,0.653664192949907,1.4796965707104,0.925598479861153,0.225630392154797,0.0498944407986415,56,74,34,77,32,74,36,89,136,116,0,0,0,1,0,0,0,0,0,7,0,0,0,0,1,0,1,0,1,0,0,0,0,4,1,0,2,3,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,21,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,17.85316224,6.69829482,-51,-27,-12,-60,-40,13,0.01,0.05,0.01,0.4,0.54,0.5,0,0.5
"7","Connecticut",10.5,0.704166666666667,0.375,0.35,0.575,0.258333333333333,0.566666666666667,0.308333333333333,0.670833333333333,1.08333333333333,0.733333333333334,0.16405523375,0.0827680445833333,42,27,21,36,19,33,18,47,67,54,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,4,7,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,7,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,10.151794,5.2994218,-56,-32,-52,-64,-38,15,0.01,0.12,0.01,0.35,0.51,0.25,0.5,0.25
"8","Delaware",11.6,0.515151515151515,0.34469696969697,0.359848484848485,0.579545454545454,0.128787878787879,0.56060606060606,0.136363636363636,0.583333333333332,0.84090909090909,0.93939393939394,0.157123689772727,0.0603133640151515,11,11,5,13,4,13,6,19,22,28,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6793396,2.0522011,-47,-28,-6,-57,-37,12,0,0.08,0.05,0.29,0.58,0,0,0
"9","Florida",14,0.554984781207134,0.558377044716404,0.37963756762048,0.641490988931381,0.23066736941587,0.493203331107748,0.490479501979113,0.767651759073085,1.07635440241766,1.0974219243722,0.14200462127286,0.100852560369962,270,251,166,312,120,257,191,352,525,461,0,0,0,0,0,0,0,0,7,16,1,0,6,0,3,0,2,0,2,1,0,0,0,14,2,0,9,29,3,25,8,1,0,0,4,1,4,1,0,0,0,0,0,0,1,10,5,1,24,12,2,2,46,0,0,0,0,0,0,1,0,0,77,0,0,4,1,0,1,0,1,0,0,0,0,0,0,4,1,0,4,1,0,0,69.4172481,41.7455348,-50,-26,-48,-63,-41,13,0.02,0.12,0.01,0.38,0.48,0.39,0.33,0.28
"10","Georgia",13.6,0.339577922077922,0.420746753246753,0.217029220779221,0.61586038961039,0.244107142857143,0.390308441558441,0.315487012987013,0.716753246753247,0.815909090909091,0.963457792207792,0.150923475491883,0.0583797421477273,44,55,31,68,28,52,39,82,97,111,0,0,0,1,0,0,0,0,1,5,0,0,2,1,0,0,0,0,0,1,0,0,0,6,2,3,5,11,0,3,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,1,4,3,0,2,15,0,0,0,0,1,0,0,0,0,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,2,17.1335178,7.30219186,-42,-17,-2,-52,-37,11,0.01,0.11,0.01,0.42,0.46,0.25,0.25,0.5
